Beats: ('VEHICLE NON-COMMERCIAL', 'SCHOOL - PUBLIC BUILDING'), Correlation: 1.0
Beats: ('0822', '2513'), Correlation: 0.9999791805221118
Beats: ('0715', '1024'), Correlation: 0.9999791760968516
Beats: ('0715', '1522'), Correlation: 0.9999784290113635
Beats: ('0834', '1613'), Correlation: 0.9999782584909013
Beats: ('0915', '1613'), Correlation: 0.9999780640642966
Beats: ('1821', '2515'), Correlation: 0.9999778484400363
Beats: ('2532', '1011'), Correlation: 0.9999777695960604
Beats: ('1231', '0511'), Correlation: 0.9999768900814551
Beats: ('0212', '0524'), Correlation: 0.9999767066450812
Beats: ('1231', '1712'), Correlation: 0.9999766104626034
Beats: ('0915', '1923'), Correlation: 0.9999759338732661
Beats: ('0414', '0213'), Correlation: 0.9999757732808758
Beats: ('0834', '1923'), Correlation: 0.9999757293391195
Beats: ('0914', '2422'), Correlation: 0.9999755558664577
Beats: ('0212', '0611'), Correlation: 0.9999755335190075
Beats: ('0431', '0123'), Correlation: 0.9999755037639505
Beats: ('0921', '0731'), Correlation: 0.9999751404627677
Beats: ('0212', '0122'), Correlation: 0.999975126302359
Beats: ('0212', '1531'), Correlation: 0.9999750559906169
Beats: ('2532', '0724'), Correlation: 0.9999750289010643
Beats: ('1231', '1611'), Correlation: 0.9999750253418487
Beats: ('0822', '1522'), Correlation: 0.9999749849293305
Beats: ('1012', '1432'), Correlation: 0.9999746118249533
Beats: ('0431', '2522'), Correlation: 0.9999742570460943
Beats: ('0822', '1024'), Correlation: 0.9999741667392078
Beats: ('2532', '1933'), Correlation: 0.9999738748217081
Beats: ('0431', '0224'), Correlation: 0.9999736619920772
Beats: ('2532', '1121'), Correlation: 0.9999735168180446
Beats: ('1231', '1511'), Correlation: 0.999973107639355
Beats: ('1433', '1913'), Correlation: 0.9999727680074657
Beats: ('0822', '1931'), Correlation: 0.9999727246402088
Beats: ('1821', '0633'), Correlation: 0.9999723613888901
Beats: ('1821', '0632'), Correlation: 0.9999719849016423
Beats: ('0715', '1212'), Correlation: 0.9999719268960316
Beats: ('1821', 'false'), Correlation: 0.9999714146789185
Beats: ('2532', '1135'), Correlation: 0.9999713611528478
Beats: ('1433', '2422'), Correlation: 0.9999711140839704
Beats: ('0631', '0111'), Correlation: 0.9999710255665624
Beats: ('0212', '0715'), Correlation: 0.999970642034398
Beats: ('0414', '0732'), Correlation: 0.9999704115205468
Beats: ('1614', '1834'), Correlation: 0.9999701201209358
Beats: ('1231', '0523'), Correlation: 0.999969678676825
Beats: ('0715', '1225'), Correlation: 0.9999696608792116
Beats: ('0431', '0722'), Correlation: 0.9999684861540404
Beats: ('1012', '0614'), Correlation: 0.9999684028425216
Beats: ('1231', '1234'), Correlation: 0.9999682657587456
Beats: ('1231', '1421'), Correlation: 0.9999681006427544
Beats: ('0431', '0314'), Correlation: 0.9999678901344782
Beats: ('1231', '2031'), Correlation: 0.9999674769930721
Beats: ('1433', '1934'), Correlation: 0.999967257064188
Beats: ('0834', '0213'), Correlation: 0.9999669797449824
Beats: ('0414', '1923'), Correlation: 0.9999669284480799
Beats: ('0414', '1233'), Correlation: 0.9999667572076941
Beats: ('0915', '0213'), Correlation: 0.9999667402383612
Beats: ('0431', '1215'), Correlation: 0.9999667203848375
Beats: ('0915', '0413'), Correlation: 0.9999663037625168
Beats: ('0834', '0413'), Correlation: 0.9999660618212036
Beats: ('1614', '0922'), Correlation: 0.9999660371730607
Beats: ('1614', '1934'), Correlation: 0.9999657228880576
Beats: ('1821', '1915'), Correlation: 0.9999651597821403
Beats: ('1012', '1434'), Correlation: 0.9999650533066675
Beats: ('1231', '0912'), Correlation: 0.9999649287877446
Beats: ('0914', '0621'), Correlation: 0.9999647441562879
Beats: ('2532', '2023'), Correlation: 0.9999647251764534
Beats: ('0414', '1424'), Correlation: 0.9999629571780766
Beats: ('0631', '1924'), Correlation: 0.9999626573138665
Beats: ('0834', '0732'), Correlation: 0.9999607649476272
Beats: ('0915', '0732'), Correlation: 0.9999605039125169
Beats: ('1231', '1935'), Correlation: 0.9999598886475274
Beats: ('0414', '1211'), Correlation: 0.999959727579034
Beats: ('0212', '0735'), Correlation: 0.9999596703172247
Beats: ('1614', '1913'), Correlation: 0.9999595709901814
Beats: ('0414', '0923'), Correlation: 0.9999594603389304
Beats: ('1433', '0621'), Correlation: 0.9999594470094797
Beats: ('0414', '2433'), Correlation: 0.9999583249625804
Beats: ('1231', '0835'), Correlation: 0.9999580853289896
Beats: ('1231', '1932'), Correlation: 0.9999580030826358
Beats: ('0212', '0311'), Correlation: 0.9999576834837023
Beats: ('0212', '2512'), Correlation: 0.9999574218139192
Beats: ('0723', '1233'), Correlation: 0.9999572958201289
Beats: ('2211', 'true'), Correlation: 0.9999570252365199
Beats: ('1012', '0823'), Correlation: 0.9999558706578588
Beats: ('0414', '0413'), Correlation: 0.9999557787364346
Beats: ('0431', '2213'), Correlation: 0.999954632204993
Beats: ('0212', '0814'), Correlation: 0.9999536974300008
Beats: ('0915', '1533'), Correlation: 0.9999530091109552
Beats: ('0834', '1533'), Correlation: 0.999952723479721
Beats: ('0431', '0113'), Correlation: 0.9999526125714386
Beats: ('1012', '0613'), Correlation: 0.9999522592965048
Beats: ('0431', '1012'), Correlation: 0.9999521849559885
Beats: ('0723', '1532'), Correlation: 0.9999519684943128
Beats: ('1231', '2011'), Correlation: 0.9999513459007218
Beats: ('0212', '2024'), Correlation: 0.9999509509014161
Beats: ('1821', '1013'), Correlation: 0.9999503045744852
Beats: ('0431', '0933'), Correlation: 0.9999494777460535
Beats: ('0723', '1211'), Correlation: 0.9999493733405
Beats: ('0915', '1724'), Correlation: 0.9999490903913811
Beats: ('0834', '1724'), Correlation: 0.9999487931067298
Beats: ('1012', '2232'), Correlation: 0.9999487153110452
Beats: ('0914', '0532'), Correlation: 0.9999483543816777
Beats: ('0133', '1811'), Correlation: 0.9999478161997412
Beats: ('1821', '1213'), Correlation: 0.9999472527230987
Beats: ('0723', '1811'), Correlation: 0.9999470724399998
Beats: ('0414', '1112'), Correlation: 0.9999470133679559
Beats: ('0631', '1431'), Correlation: 0.9999469050437756
Beats: ('2532', '0825'), Correlation: 0.9999454264095536
Beats: ('0921', '1655'), Correlation: 0.9999451619213047
Beats: ('1821', '1212'), Correlation: 0.9999449500911267
Beats: ('1012', '1232'), Correlation: 0.999944806586684
Beats: ('1012', '0214'), Correlation: 0.9999434582832488
Beats: ('1821', '0822'), Correlation: 0.99994337784363
Beats: ('0822', '2212'), Correlation: 0.9999431233892471
Beats: ('1821', '0513'), Correlation: 0.9999425740579702
Beats: ('1433', '0532'), Correlation: 0.9999419821242065
Beats: ('1821', '1225'), Correlation: 0.9999417945249309
Beats: ('0414', '1532'), Correlation: 0.9999407152233465
Beats: ('0414', '1533'), Correlation: 0.9999407092594552
Beats: ('0212', '1031'), Correlation: 0.999940351385436
Beats: ('0915', '2223'), Correlation: 0.9999395302057825
Beats: ('0834', '2223'), Correlation: 0.9999392062477976
Beats: ('1231', '1125'), Correlation: 0.9999389323416755
Beats: ('2211', '2012'), Correlation: 0.999938128148568
Beats: ('1231', '1722'), Correlation: 0.9999377068745166
Beats: ('0431', '1114'), Correlation: 0.9999373627099573
Beats: ('0431', '0423'), Correlation: 0.9999364469507167
Beats: ('0414', '1724'), Correlation: 0.9999363171407782
Beats: ('1012', '1512'), Correlation: 0.9999355596469869
Beats: ('0631', '2521'), Correlation: 0.9999354928066209
Beats: ('0414', '1811'), Correlation: 0.9999352889764598
Beats: ('1614', '0812'), Correlation: 0.9999352755038664
Beats: ('2532', '1833'), Correlation: 0.9999347913688081
Beats: ('0834', '1112'), Correlation: 0.9999343341593578
Beats: ('1821', '0524'), Correlation: 0.999934010085683
Beats: ('0915', '1112'), Correlation: 0.9999339965882984
Beats: ('1231', '2535'), Correlation: 0.9999339437311122
Beats: ('1614', '0211'), Correlation: 0.9999336439936027
Beats: ('1821', '0611'), Correlation: 0.9999320454042766
Beats: ('2532', '1631'), Correlation: 0.9999318099745761
Beats: ('1821', '0122'), Correlation: 0.9999313678766183
Beats: ('1821', '1531'), Correlation: 0.9999312511164657
Beats: ('1433', '0321'), Correlation: 0.9999312080270929
Beats: ('1712', '2411'), Correlation: 0.9999301349519011
Beats: ('2532', '1034'), Correlation: 0.9999287515454599
Beats: ('0723', '1533'), Correlation: 0.999928272142564
Beats: ('1231', '2233'), Correlation: 0.9999280375838564
Beats: ('0822', '1831'), Correlation: 0.9999274579175147
Beats: ('0212', '0633'), Correlation: 0.999926823308315
Beats: ('0414', '0412'), Correlation: 0.9999262354620806
Beats: ('0212', '0632'), Correlation: 0.999926211511764
Beats: ('0414', '2223'), Correlation: 0.9999256733994125
Beats: ('1231', '0714'), Correlation: 0.999925374904106
Beats: ('1012', '2521'), Correlation: 0.9999235623608916
Beats: ('0212', '2513'), Correlation: 0.9999227278310439
Beats: ('1231', '1423'), Correlation: 0.9999221310113515
Beats: ('0715', '0733'), Correlation: 0.9999218639809503
Beats: ('0431', '1132'), Correlation: 0.9999214302992316
Beats: ('2532', '1231'), Correlation: 0.999921390178116
Beats: ('0834', '1811'), Correlation: 0.9999213484983751
Beats: ('0431', '0333'), Correlation: 0.9999209608430526
Beats: ('1614', '2223'), Correlation: 0.9999208368231661
Beats: ('0914', '0733'), Correlation: 0.9999205550972979
Beats: ('0431', '1524'), Correlation: 0.9999204617628823
Beats: ('1433', '0634'), Correlation: 0.9999197541184797
Beats: ('1433', '0124'), Correlation: 0.9999196105934673
Beats: ('1012', '0711'), Correlation: 0.9999182700801169
Beats: ('0431', '1634'), Correlation: 0.9999182507107993
Beats: ('1614', '2424'), Correlation: 0.9999164010592677
Beats: ('1433', '1235'), Correlation: 0.9999159499724001
Beats: ('0212', '1915'), Correlation: 0.999915366504185
Beats: ('0414', '0411'), Correlation: 0.9999144632907383
Beats: ('0631', '0214'), Correlation: 0.9999143436062137
Beats: ('2532', '1513'), Correlation: 0.9999134039347055
Beats: ('1712', '0713'), Correlation: 0.9999131854518735
Beats: ('1433', '0733'), Correlation: 0.9999126963548508
Beats: ('0631', '1232'), Correlation: 0.999912665948711
Beats: ('2532', '1931'), Correlation: 0.9999125317333379
Beats: ('2532', '0821'), Correlation: 0.9999122595803035
Beats: ('0914', '0634'), Correlation: 0.9999118567920974
Beats: ('0914', '0124'), Correlation: 0.9999117063737236
Beats: ('0212', '1931'), Correlation: 0.9999106938274415
Beats: ('1614', '1724'), Correlation: 0.9999090170162919
Beats: ('1231', '0114'), Correlation: 0.9999086203684705
Beats: ('0914', '1235'), Correlation: 0.9999078719717934
Beats: ('0631', '2232'), Correlation: 0.9999075871445364
Beats: ('0822', '0715'), Correlation: 0.9999069564460561
Beats: ('0715', '0513'), Correlation: 0.9999059268910669
Beats: ('1231', '0831'), Correlation: 0.9999052797413193
Beats: ('1821', '0311'), Correlation: 0.9999039170113986
Beats: ('0431', '0631'), Correlation: 0.9999027873344065
Beats: ('1231', '1733'), Correlation: 0.9999018395446131
Beats: ('2211', '1912'), Correlation: 0.9999016153552449
Beats: ('1231', '0221'), Correlation: 0.9999001079155589
Beats: ('2532', '2513'), Correlation: 0.9998997562377866
Beats: ('2532', '0512'), Correlation: 0.9998996131988064
Beats: ('0822', '1621'), Correlation: 0.9998995882899279
Beats: ('0414', '0533'), Correlation: 0.9998985817508798
Beats: ('0834', '0411'), Correlation: 0.9998985376271509
Beats: ('0915', '0411'), Correlation: 0.9998981181240231
Beats: ('0723', '2222'), Correlation: 0.9998966877623188
Beats: ('0715', '0524'), Correlation: 0.9998950491717421
Beats: ('2532', '1111'), Correlation: 0.9998948897316567
Beats: ('1614', '2531'), Correlation: 0.999894372860949
Beats: ('0921', '1634'), Correlation: 0.9998941798880394
Beats: ('1821', '0312'), Correlation: 0.9998934976446745
Beats: ('0715', '0611'), Correlation: 0.9998925752725655
Beats: ('0715', '0122'), Correlation: 0.9998917238504186
Beats: ('0715', '1531'), Correlation: 0.9998915772094203
Beats: ('0921', '0333'), Correlation: 0.9998910476605314
Beats: ('1012', '0533'), Correlation: 0.9998899029031896
Beats: ('0715', '0532'), Correlation: 0.999888356604701
Beats: ('0822', '0735'), Correlation: 0.9998881025456906
Beats: ('0822', '0734'), Correlation: 0.9998863428455171
Beats: ('0212', '1212'), Correlation: 0.9998851538838182
Beats: ('0822', '0424'), Correlation: 0.9998849324926746
Beats: ('0822', '2512'), Correlation: 0.9998843775749526
Beats: ('0631', '1023'), Correlation: 0.9998830854037952
Beats: ('0915', '0922'), Correlation: 0.9998823683326865
Beats: ('0631', '1434'), Correlation: 0.9998819973773717
Beats: ('0834', '0922'), Correlation: 0.9998819166732009
Beats: ('1614', '0413'), Correlation: 0.9998818707017174
Beats: ('0834', '0533'), Correlation: 0.9998813010048667
Beats: ('0915', '0533'), Correlation: 0.999880847303028
Beats: ('0212', '1225'), Correlation: 0.9998806156721919
Beats: ('0414', '2222'), Correlation: 0.9998804599795956
Beats: ('1821', '0733'), Correlation: 0.9998798655912001
Beats: ('0822', '0814'), Correlation: 0.9998782909030206
Beats: ('1654', '1813'), Correlation: 0.9998772115844434
Beats: ('1231', '0232'), Correlation: 0.9998761651894486
Beats: ('0915', '1834'), Correlation: 0.9998743959869053
Beats: ('0834', '1834'), Correlation: 0.9998739292883269
Beats: ('0822', '2024'), Correlation: 0.9998738626670775
Beats: ('0414', '0612'), Correlation: 0.9998734999740502
Beats: ('0631', '1414'), Correlation: 0.9998723538342328
Beats: ('1012', '0411'), Correlation: 0.9998719760227284
Beats: ('0631', '0324'), Correlation: 0.9998717604317934
Beats: ('2532', '0725'), Correlation: 0.9998716495369314
Beats: ('0914', '1122'), Correlation: 0.9998713214046299
Beats: ('0921', '1114'), Correlation: 0.9998697197741087
Beats: ('0631', '0624'), Correlation: 0.9998689023353466
Beats: ('2532', '0913'), Correlation: 0.9998688658180866
Beats: ('0822', '2514'), Correlation: 0.9998683253984529
Beats: ('2532', '0225'), Correlation: 0.9998679407644966
Beats: ('0414', '0711'), Correlation: 0.9998672225148612
Beats: ('1433', '1614'), Correlation: 0.9998659797113972
Beats: ('1231', '1732'), Correlation: 0.9998642792192889
Beats: ('0414', '0922'), Correlation: 0.9998633238925115
Beats: ('0723', '1512'), Correlation: 0.9998615444826112
Beats: ('1614', '1923'), Correlation: 0.999861518174545
Beats: ('0921', '2412'), Correlation: 0.9998611417356821
Beats: ('0715', '0311'), Correlation: 0.9998578347095649
Beats: ('0822', '1031'), Correlation: 0.9998571779309618
Beats: ('0431', '1432'), Correlation: 0.9998571160811399
Beats: ('1231', '2514'), Correlation: 0.9998568109947767
Beats: ('1614', '1014'), Correlation: 0.9998567518629221
Beats: ('0723', '0612'), Correlation: 0.9998556063344928
Beats: ('0414', '1834'), Correlation: 0.9998547406126638
Beats: ('1821', '2513'), Correlation: 0.999853892286388
Beats: ('2211', '2511'), Correlation: 0.9998528956014375
Beats: ('0914', '1225'), Correlation: 0.9998500722489251
Beats: ('2532', '2033'), Correlation: 0.9998490327459975
Beats: ('2532', '0311'), Correlation: 0.9998487718045596
Beats: ('0834', '0711'), Correlation: 0.9998475479201214
Beats: ('0915', '0711'), Correlation: 0.9998470338039049
Beats: ('2532', '2411'), Correlation: 0.9998465271674584
Beats: ('0914', '1212'), Correlation: 0.9998448933387435
Beats: ('0431', '0614'), Correlation: 0.9998428523300394
Beats: ('0414', '1512'), Correlation: 0.9998428517531236
Beats: ('1012', '0314'), Correlation: 0.9998417114989153
Beats: ('2532', '0531'), Correlation: 0.9998406191618706
Beats: ('1433', '1225'), Correlation: 0.9998393457433545
Beats: ('1821', '0532'), Correlation: 0.9998390336781734
Beats: ('1231', '0424'), Correlation: 0.9998383501753338
Beats: ('1821', '1931'), Correlation: 0.9998375082292948
Beats: ('1231', '0734'), Correlation: 0.9998366690678187
Beats: ('0822', '0633'), Correlation: 0.9998366233701069
Beats: ('0715', '2422'), Correlation: 0.9998359429532461
Beats: ('0822', '0632'), Correlation: 0.9998357098740055
Beats: ('0723', '1834'), Correlation: 0.9998356084963109
Beats: ('1433', '1212'), Correlation: 0.9998339863322819
Beats: ('0723', '0613'), Correlation: 0.9998339846220538
Beats: ('1614', '0215'), Correlation: 0.9998337022388711
Beats: ('0723', '0823'), Correlation: 0.9998270469885158
Beats: ('0723', '0223'), Correlation: 0.999825112476594
Beats: ('0921', '0934'), Correlation: 0.9998248339541401
Beats: ('1012', '1112'), Correlation: 0.9998235315891231
Beats: ('1712', '2233'), Correlation: 0.9998225988337742
Beats: ('2532', '0713'), Correlation: 0.9998218497077718
Beats: ('0834', '1512'), Correlation: 0.999821507446606
Beats: ('0915', '1512'), Correlation: 0.9998209511913472
Beats: ('1231', '1621'), Correlation: 0.9998198892322236
Beats: ('0822', '1915'), Correlation: 0.9998197108182663
Beats: ('0822', '0221'), Correlation: 0.9998191917352757
Beats: ('0431', '0223'), Correlation: 0.9998181727326105
Beats: ('1614', '1523'), Correlation: 0.999817718454336
Beats: ('0915', '2413'), Correlation: 0.9998164011798544
Beats: ('0431', '0823'), Correlation: 0.9998161893520929
Beats: ('0834', '2413'), Correlation: 0.9998158370309679
Beats: ('0915', '0331'), Correlation: 0.999815786702519
Beats: ('0834', '0331'), Correlation: 0.9998152216111713
Beats: ('0414', '0613'), Correlation: 0.9998135722121458
Beats: ('0715', '2524'), Correlation: 0.9998130815727693
Beats: ('2532', '1531'), Correlation: 0.9998093349293491
Beats: ('2532', '0122'), Correlation: 0.9998091403577651
Beats: ('0431', '0613'), Correlation: 0.9998088930993524
Beats: ('1821', '1631'), Correlation: 0.9998084012301264
Beats: ('2532', '0611'), Correlation: 0.999808006061144
Beats: ('1231', '0724'), Correlation: 0.9998078124200626
Beats: ('0414', '0823'), Correlation: 0.9998062247086913
Beats: ('1821', '0621'), Correlation: 0.999805786958394
Beats: ('2532', '0524'), Correlation: 0.9998046651613951
Beats: ('1614', '1221'), Correlation: 0.9998043565879452
Beats: ('0414', '0223'), Correlation: 0.999804177380163
Beats: ('1012', '0933'), Correlation: 0.9998033675080369
Beats: ('2532', '1511'), Correlation: 0.9998025457653819
Beats: ('0715', '2513'), Correlation: 0.9997981160007251
Beats: ('0212', '1621'), Correlation: 0.9997969922671462
Beats: ('0212', '0733'), Correlation: 0.9997967212272556
Beats: ('0414', '2413'), Correlation: 0.9997927870797556
Beats: ('1433', '1915'), Correlation: 0.999792594560923
